MMSI,BaseDateTime,LAT,LON,Heading,VesselName,CallSign,VesselType,Length,Width
316003289,2022-01-29T00:00:09,49.1442,-123.87228,197.0,PRINCESS SUPERIOR,CZ4348,70.0,117.0,20.0
477694900,2022-01-29T00:00:12,29.59536,-89.83598,307.0,HAI CHANG,VRNL4,70.0,179.0,30.0
477652700,2022-01-29T00:00:30,32.85804,-79.95637,282.0,JERVIS BAY,VRMM6,70.0,179.0,30.0
371293000,2022-01-29T00:00:33,29.74777,-95.17575,258.0,MACONDO,3EYB9,70.0,119.0,15.0
255805803,2022-01-29T00:00:07,33.03766,-118.00247,15.0,MINNA,CQAA,70.0,220.0,32.0
311057100,2022-01-29T00:00:04,38.69887,-76.43246,162.0,CSL TACOMA,C6ZJ7,70.0,228.0,32.0
636013689,2022-01-29T00:00:02,36.39862,-75.38895,277.0,YM UBERTY,A8OR4,70.0,333.0,42.0
215346000,2022-01-29T00:00:04,31.18274,-117.71075,222.0,CMA CGM CHILE,9HA5073,74.0,366.0,51.0
636092905,2022-01-29T00:00:12,28.85643,-89.35567,338.0,BALTIA,D5QS4,70.0,224.0,32.0
538008255,2022-01-29T00:00:07,48.52139,-125.70115,270.0,DELFIN,V7A2149,70.0,229.0,33.0
414333000,2022-01-29T00:00:01,33.74733,-118.19728,180.0,REN JIAN 19,BQOJ,70.0,260.0,32.0
351361000,2022-01-29T00:00:05,30.05182,-118.53079,229.0,MSC KALINA,3ETW2,70.0,366.0,51.0
636016606,2022-01-29T00:00:10,33.71689,-118.18177,347.0,GOODWOOD,D5GY7,70.0,199.0,32.0
255806339,2022-01-29T00:00:01,31.12239,-117.86234,50.0,MSC ORION,CQEB8,74.0,366.0,51.0
370381000,2022-01-29T00:00:08,30.92554,-80.21421,215.0,BALSA 83,3EZL8,70.0,106.0,19.0
229439000,2022-01-29T00:00:00,42.61631,-70.12615,133.0,OCEAN GLSR,9HA5494,70.0,190.0,32.0
538005968,2022-01-29T00:00:06,36.40723,-75.0143,310.0,BALTIC SCORPION,V7IN9,70.0,199.0,
538009430,2022-01-29T00:00:08,45.64292,-122.7718,229.0,TEAM TOMBI,V7A4730,79.0,178.0,28.0
255806388,2022-01-29T00:00:16,29.58381,-89.82003,313.0,EIBE OLDENDORFF,CQEH9,70.0,180.0,30.0
565448000,2022-01-29T00:00:00,35.80724,-74.81297,192.0,MAERSK SEMBAWANG,S6CH3,70.0,318.0,40.0
219982000,2022-01-29T00:00:06,48.47704,-124.81708,93.0,JOHANNES MAERSK,OWFD2,70.0,216.0,32.0
563070700,2022-01-29T00:00:04,39.1727,-76.2937,221.0,ULTRA DEDICATION,9V8567,70.0,199.0,32.0
477883200,2022-01-29T00:00:11,30.57052,-79.99363,254.0,SAGA JOURNEY,VRCY8,70.0,199.0,30.0
368836000,2022-01-29T00:00:01,39.22707,-125.09789,160.0,BOB HOPE,NHNM,70.0,289.0,32.0
636091959,2022-01-29T00:00:09,29.87576,-118.74455,226.0,MSC SAVONA,A8UX4,70.0,365.0,51.0
477770700,2022-01-29T00:00:10,33.37253,-117.89953,216.0,COSCO MALAYSIA,VRGV9,70.0,334.0,42.0
477770700,2022-01-29T00:00:00,33.38472,-117.92038,173.0,COSCO MALAYSIA,VRGV9,70.0,334.0,42.0
357777000,2022-01-29T00:00:00,32.58402,-120.85398,328.0,BUENA VENTURA,3EEN,70.0,189.0,32.0
636018571,2022-01-29T00:00:01,30.68188,-118.37456,11.0,MSC EMMA,D5QH6,70.0,366.0,48.0
636018571,2022-01-29T00:00:00,31.5979,-118.13885,13.0,MSC EMMA,D5QH6,70.0,366.0,48.0
636091959,2022-01-29T00:00:00,29.95574,-118.95556,236.0,MSC SAVONA,A8UX4,70.0,365.0,51.0
338701000,2022-01-29T00:00:00,48.74607,-122.49362,511.0,MOTEGA,WDG7763,70.0,20.0,7.0
354891000,2022-01-29T00:00:07,30.36624,-117.42696,39.0,NYK NEBULA,3ENG6,70.0,294.0,32.0
636020116,2022-01-29T00:00:02,48.13494,-122.6869,307.0,LILA MUMBAI,D5XT2,70.0,193.0,28.0
563113200,2022-01-29T00:00:04,31.52705,-117.40252,243.0,WAN HAI 322,9V6492,70.0,204.0,35.0
316011905,2022-01-29T00:00:03,42.98931,-82.41798,511.0,ROBERT S PIERSON,CFN4934,70.0,192.0,20.0
218355000,2022-01-29T00:00:07,40.43702,-73.56448,179.0,VIENNA EXPRESS,DGWF2,70.0,335.0,42.0
563079000,2022-01-29T00:00:08,29.17466,-117.0762,253.0,NYK ROMULUS,9V7644,70.0,294.0,32.0
636017539,2022-01-29T00:00:12,29.30428,-94.31472,7.0,SIEM CICERO,D5LL4,70.0,,
563433000,2022-01-29T00:00:02,30.33224,-117.19384,233.0,MAERSK NORTHWOOD,9V3531,70.0,210.0,30.0
